oare_id,online transcript,cdli_id,aliases,label,publication_catalog,description,genre_label,inventory_position,online_catalog,note,interlinear_commentary,online_information,excavation_no,oatp_key,eBL_id,AICC_translation,transliteration_orig,transliteration
bd4b7138-70d5-490d-8234-299b0a75d3a3,https://oare.byu.edu/epigraphies/bd4b7138-70d5-490d-8234-299b0a75d3a3,P361099,MP 1 bis,Cuneiform Tablet RA 60 125,RA 60 125,"Cuneiform envelope, dated to the Old Assyrian Period (ca. 1950-1850 BC).",letter,MP 1 bis,,Collection: MP 1 bis,"P. Garelli RA 60 S. 124-125; Michel Innaya II, 214 #10 Hüllenfrgt.",,,4395,,https://aicuneiform.com/search?q=P361099,KIŠIB a-šùr-ma-lik DUMU i-na-a a-na a-šùr-na-da DUMU … ù en-um-a-šùr DUMU … a-pu-tum a-na a-wa-at ṭup-pì-im iḫ-da … ša ú-… ḫa-sí-sú …,KIŠIB a-šùr-ma-lik DUMU i-na-a a-na a-šùr-na-da DUMU <big_gap> ù en-um-a-šùr DUMU <big_gap> a-pu-tum a-na a-wa-at ṭup-pì-im iḫ-da <big_gap> ša ú-<big_gap> ḫa-sí-sú <big_gap>
b05376c2-fc3d-49f8-9792-a25c0df9c383,https://oare.byu.edu/epigraphies/b05376c2-fc3d-49f8-9792-a25c0df9c383,P359543,ICK 1 146,Cuneiform Tablet ICK 1 146,Ka 185 | Ka 455 | Ka 424?,"Cuneiform tablet, dated to the Old Assyrian Period (ca. 1950-1850 BC).",debt note,Ist Ka 185 | Ist Ka 455 | Ist Ka 424?,,"ICK 1, 146 & ICK 2, 33 (env) + ICK 2, 163 (env)","Ichisar, Imdilum 65f.",,,1888,,https://aicuneiform.com/search?q=P359543,0.33333 ma-na 7 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er en-na-nim im-dí-lu-um i-šu iš-tù ḫa-mu-uš-tim ša šu-be-lim DUMU a-na-lí a-na 8 ḫa-am-ša-tim i-ša-qal šu-ma i-na u₄-me-šu ma-al-ú-tim lá iš-qú-ul ki-ma a-wa-at kà-ri-im ú-ṣa-áb IGI en-nam-a-šur,0.33333 ma-na 7 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er en-na-nim im-dí-lu-um i-šu iš-tù ḫa-mu-uš-tim ša šu-be-lim DUMU a-na-lí a-na 8 ḫa-am-ša-tim i-ša-qal šu-ma i-na u₄-me-šu ma-al-ú-tim lá iš-qú-ul ki-ma a-wa-at kà-ri-im ú-ṣa-áb IGI en-nam-a-šur
80547963-f2a2-4d5d-9544-fc7ada60d3b2,https://oare.byu.edu/epigraphies/80547963-f2a2-4d5d-9544-fc7ada60d3b2,P361681,TrMA 1 | Or 36 396 n. 2,Cuneiform Tablet Or 36 396A.2,,"Cuneiform tablet, dated to the Old Assyrian Period (ca. 1950-1850 BC).",debt note,TrMA 1,,Or 36 396 n. 2,,,,56,,https://aicuneiform.com/search?q=P361681,{large break} a-na a-lá-lá-ma-sí ù a-mur-DINGIR qí-bi₄-ma šu-ma KÙ.BABBAR ša-ḫa-tám lá i-mu-a-ma lu-qú-tám lá ú-šar 8 ma-na KÙ.BABBAR a-na ṣí-ib-tim le-qé-a-nim ù pì-lá-aḫ-a-šur qá-sú li-dí-ma 15 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu ku-un-kà-ma a-na a-lim{ki} šé-bi-lá-ma ma-lá pì-lá-aḫ-a-šur ší-ma-am i-qá-bi₄-ú ṭup-pá-am iš-tí-šu lá-pì-ta šu-ma lá ta-qí-pá qá-tí ma-aḫ-ṣa-ma a-dí KÙ.BABBAR ú-šé-ba-lá-ni kà-i-lá a-ḫu-a a-tù-nu-ma iḫ-da-ma li-bi₄ pì-lá-aḫ-a-šur lá i-ma-ra-aṣ,<big_gap> a-na a-lá-lá-ma-sí ù a-mur-DINGIR qí-bi₄-ma šu-ma KÙ.BABBAR ša-ḫa-tám lá i-mu-a-ma lu-qú-tám lá ú-šar 8 ma-na KÙ.BABBAR a-na ṣí-ib-tim le-qé-a-nim ù pì-lá-aḫ-a-šur qá-sú li-dí-ma 15 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu ku-un-kà-ma a-na a-lim{ki} šé-bi-lá-ma ma-lá pì-lá-aḫ-a-šur ší-ma-am i-qá-bi₄-ú ṭup-pá-am iš-tí-šu lá-pì-ta šu-ma lá ta-qí-pá qá-tí ma-aḫ-ṣa-ma a-dí KÙ.BABBAR ú-šé-ba-lá-ni kà-i-lá a-ḫu-a a-tù-nu-ma iḫ-da-ma li-bi₄ pì-lá-aḫ-a-šur lá i-ma-ra-aṣ
8c0d4238-f795-4061-8b3c-8469a66d86d6,https://oare.byu.edu/epigraphies/8c0d4238-f795-4061-8b3c-8469a66d86d6,P361098,MP 1,Cuneiform Tablet RA 60 123,RA 60 123,"Cuneiform tablet, dated to the Old Assyrian Period (ca. 1950-1850 BC).",letter,MP 1,,,,,,4394,,https://aicuneiform.com/search?q=P361098,um-ma PUZUR₄-a-šùr-ma a-na bu-za-zu qí-bi-ma a-šu-mì DUB ša 45 GÚ URUDU ša ta-áš-pu-ra-ni i-nu-mì ta-ta-al-ku-ma iš-tí-kà ú-ṣa-ni um-ma a-ta-ma ṭup-pá-am šu-a-tí dí-na-šu pá-i a-dí-na-kum um-ma a-na-ku-ma le-qé-šu a-lá-ak-ma i li-bi₄ ṭup-pì-kà a-ša-kà-šu wa-ar-ki-tám-ma áš-pu-ra-kum um-ma a-na-ku-ma a-ḫi a-ta a-na ṭup-pì-im lá ta-da-ga-al x a-ma-kam wa-ša-áb a-pu-tum i-ḫi-id-ma KÙ.BABBAR-ap-kà a-wi-lam ša-áš-qí-il₅ šu-ma KÙ.BABBAR lá i-ta-ad-na-kum ṭup-pu-um ku-a-tí i-za-za-kum a-ta KÙ.BABBAR té-ri-iš lá té-ri-iš a-na ṭup-pì-im ta-áš-tap-ra-am ù 3 ṣa-ba-am a-na ší-bu-tim iš-tí-a tal-ta-ap-tám i-na mì-nim ṭup-pu-um a ku-a-im i-tur₄ a-na-ku a-na KÙ.BABBAR ša qá-ta-at šu-IŠTAR a-na be-lúm-ba-ni al-ta-ap-tù KÙ.BABBAR a bu-ru-uš-ḫa-dum i-a-tí i-lá-ak a KÙ.BABBAR ta-ap-x-x-ma um-ma a-na-ku-ma li-dí-na la x ma x am,um-ma PUZUR₄-a-šùr-ma a-na bu-za-zu qí-bi-ma a-šu-mì DUB ša 45 GÚ URUDU ša ta-áš-pu-ra-ni i-nu-mì ta-ta-al-ku-ma iš-tí-kà ú-ṣa-ni um-ma a-ta-ma ṭup-pá-am šu-a-tí dí-na-šu pá-i a-dí-na-kum um-ma a-na-ku-ma le-qé-šu a-lá-ak-ma i li-bi₄ ṭup-pì-kà a-ša-kà-šu wa-ar-ki-tám-ma áš-pu-ra-kum um-ma a-na-ku-ma a-ḫi a-ta a-na ṭup-pì-im lá ta-da-ga-al <gap> a-ma-kam wa-ša-áb a-pu-tum i-ḫi-id-ma KÙ.BABBAR-ap-kà a-wi-lam ša-áš-qí-il₅ šu-ma KÙ.BABBAR lá i-ta-ad-na-kum ṭup-pu-um ku-a-tí i-za-za-kum a-ta KÙ.BABBAR té-ri-iš lá té-ri-iš a-na ṭup-pì-im ta-áš-tap-ra-am ù 3 ṣa-ba-am a-na ší-bu-tim iš-tí-a tal-ta-ap-tám i-na mì-nim ṭup-pu-um a ku-a-im i-tur₄ a-na-ku a-na KÙ.BABBAR ša qá-ta-at šu-IŠTAR a-na be-lúm-ba-ni al-ta-ap-tù KÙ.BABBAR a bu-ru-uš-ḫa-dum i-a-tí i-lá-ak a KÙ.BABBAR ta-ap-<gap>-<gap>-ma um-ma a-na-ku-ma li-dí-na la <gap> ma <gap> am
2c0d870b-cd5e-fc36-8d81-114ecc7a9ac4,https://oare.byu.edu/epigraphies/2c0d870b-cd5e-fc36-8d81-114ecc7a9ac4,P290300,CCT 6 17a,Cuneiform Tablet CCT 6 17a (BM 115099),,"Cuneiform tablet, dated to the Old Assyrian Period (ca. 1950-1850 BC).",unknown,BM 115099,,"CCT 6, 17a","EL 320;2-7: Garelli, AC 176A.4;29-32: ebd. 332A.3;cf. Veenhof, FS Houwink ten Cate 325Matouš, ArOr. 37, 156ff.",,,1603,,https://aicuneiform.com/search?q=P290300,bu-za-zu il₅-we-da-ku iš-a-al-ma um-ma bu-za-zu-ma 45 GÚ URUDU sí-kam i-na wa-aḫ-šu-ša-na É kà-ri-im i-na sú-ḫu-pì-im lu a-na kà-ri-im lu a-na we-dim ú-ṣí-a-am PUZUR₄-a-šùr lá-qá-a-am qá-bi₄ ú ṭup-pá-am ša dí-in kà-ri-im kà-ni-ìš a-na-ku ú-kà-al ù ṭup-pá-am ša ku-nu-uk PUZUR₄-a-šùr ša URUDU-um URUDU-i-ni ú-kà-al ù iš-tù PUZUR₄-a-šur me-tù-ni i-na ba-áb ḫa-ra-ni-a i-na wa-aḫ-šu-ša-na ša-zu-úz-tí ú-ša-zi-iz-kà ù i-ṣú-ra-tim ša kà-ru-um wa-aḫ-šu-ša-na a-na ša-pár-tim i-dí-a-ni e-zi-ba-kum i-na URUDU šu-a-tí ki-ma i-a-tí mì-ma tal-qé lá tal-qé IGI a-ni-e-ma i-ke-er ú-lá kà-i-na-ni il₅-we-da-ku bu-za-zu e-pu-ul um-ma il₅-we-da-ku-ma a-na bu-za-zu-ma tí-ma-li-ma a-na kà-ri-im TUR GAL a-na ša ma-áš-kà-tí tù-šar-dí-ú a-li-ik um-ma a-ta-ma a-wi-lam lá-áš-al-ma u₄-ra-ma lu né-ta-wu lu mì-ma ḫa-bu-lá-kum lu ṭup-pí ḫa-ar-ma-am tù-kà-al ri-id-a-ma u₄-ma-ma lu-ta-mì-ú-kà ša ni-iš a-lim{ki} ù ru-ba-im ší-bu-tí kà-i-lá a-na kà-ri-im TUR GAL a-wa-tí bi-lá ki-ma ma-áš-kà-tí ú-šar-dí-ú ù-qá-a-šu a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-ìš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI il₅-ba-ni DUMU a-mur-a-šur IGI i-dí-da-ga-an IGI a-gu₅-a DUMU PUZUR₄-a-šur,bu-za-zu il₅-we-da-ku iš-a-al-ma um-ma bu-za-zu-ma 45 GÚ URUDU sí-kam i-na wa-aḫ-šu-ša-na É kà-ri-im i-na sú-ḫu-pì-im lu a-na kà-ri-im lu a-na we-dim ú-ṣí-a-am PUZUR₄-a-šùr lá-qá-a-am qá-bi₄ ú ṭup-pá-am ša dí-in kà-ri-im kà-ni-ìš a-na-ku ú-kà-al ù ṭup-pá-am ša ku-nu-uk PUZUR₄-a-šùr ša URUDU-um URUDU-i-ni ú-kà-al ù iš-tù PUZUR₄-a-šur me-tù-ni i-na ba-áb ḫa-ra-ni-a i-na wa-aḫ-šu-ša-na ša-zu-úz-tí ú-ša-zi-iz-kà ù i-ṣú-ra-tim ša kà-ru-um wa-aḫ-šu-ša-na a-na ša-pár-tim i-dí-a-ni e-zi-ba-kum i-na URUDU šu-a-tí ki-ma i-a-tí mì-ma tal-qé lá tal-qé IGI a-ni-e-ma i-ke-er ú-lá kà-i-na-ni il₅-we-da-ku bu-za-zu e-pu-ul um-ma il₅-we-da-ku-ma a-na bu-za-zu-ma tí-ma-li-ma a-na kà-ri-im TUR GAL a-na ša ma-áš-kà-tí tù-šar-dí-ú a-li-ik um-ma a-ta-ma a-wi-lam lá-áš-al-ma u₄-ra-ma lu né-ta-wu lu mì-ma ḫa-bu-lá-kum lu ṭup-pí ḫa-ar-ma-am tù-kà-al ri-id-a-ma u₄-ma-ma lu-ta-mì-ú-kà ša ni-iš a-lim{ki} ù ru-ba-im ší-bu-tí kà-i-lá a-na kà-ri-im TUR GAL a-wa-tí bi-lá ki-ma ma-áš-kà-tí ú-šar-dí-ú ù-qá-a-šu a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-ìš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI il₅-ba-ni DUMU a-mur-a-šur IGI i-dí-da-ga-an IGI a-gu₅-a DUMU PUZUR₄-a-šur
c485a44b-18f0-46b7-89ad-c9e8ab523a99,https://oare.byu.edu/epigraphies/c485a44b-18f0-46b7-89ad-c9e8ab523a99,P315940,CCT 5 50f | BM 14377bis,"Cuneiform Tablet CCT 5, 50f (BM 14377)",,"Cuneiform tablet, dated to the Old Assyrian Period (ca. 1950-1850 BC).",letter,BM 14377bis,,"CCT 5, 50f, BM 14377bis","1'-6': Garelli, FS Matouš I, 125A.43",,,1573,,https://aicuneiform.com/search?q=P315940,{large break} … x … na-áb-sú-en₆ ša ḫu-bu-li-… a-na-ku ù ma-num-ba-lúm-a-šur DUMU e-na-ma-nim … um-ma i-na-a-ma la ta-du-kà-ni iš-tí-ku-nu-ma … a-na-ku a-na … a-pu-lá-ma ù … a-pu-lam a-dí … x … {large break},<big_gap> <gap> <big_gap> na-áb-sú-en₆ ša ḫu-bu-li-<big_gap> a-na-ku ù ma-num-ba-lúm-a-šur DUMU e-na-ma-nim <big_gap> um-ma i-na-a-ma la ta-du-kà-ni iš-tí-ku-nu-ma <big_gap> a-na-ku a-na <big_gap> a-pu-lá-ma ù <big_gap> a-pu-lam a-dí <big_gap> <gap> <big_gap>
b385ebee-a473-f5fa-8c0e-64698eafaa1d,https://oare.byu.edu/epigraphies/b385ebee-a473-f5fa-8c0e-64698eafaa1d,P358447,CCT 1 27 | BM 113610,Cuneiform Tablet CCT 1 27a (BM 113610),,"Cuneiform tablet, dated to the Old Assyrian Period (ca. 1950-1850 BC).",unknown,BM 113610,,"CCT 5, 48d BM 113610","Nashef, TAVO B 83; Ulshöfer, FAOSB 4, 247 Nr. 275;5-8: Lewy, Or. 21, 275A.2; Garelli, AC 94A.4;6-7: Lewy Or. 15, 401A.59-13 Garelli, AC 91A.1;12-13: Lewy Or. 15, 401A.5",,,1133,BM.113610,https://aicuneiform.com/search?q=P358447,x-4 GÍN AN.NA … 0.66666 ma-na URUDU.TA Ì.GIŠ ú sà-ḫe-er-tám i-na lu-ba-ší-im ša ṣé-ni-ma 1 GÍN KÙ.BABBAR a-na ma-sú-e-em ša áp-ri-im 1 GÍN KÙ.BABBAR a-na-ak-ta-ma-tim 0.5 ma-na 4 GÍN AN.NA ù 0.5 ma-na URUDU ú pá-aṭ-ra-am a-na ma-sú-e-em ša a-ší-ḫi-im,<gap>-4 GÍN AN.NA <big_gap> 0.66666 ma-na URUDU.TA Ì.GIŠ ú sà-ḫe-er-tám i-na lu-ba-ší-im ša ṣé-ni-ma 1 GÍN KÙ.BABBAR a-na ma-sú-e-em ša áp-ri-im 1 GÍN KÙ.BABBAR a-na-ak-ta-ma-tim 0.5 ma-na 4 GÍN AN.NA ù 0.5 ma-na URUDU ú pá-aṭ-ra-am a-na ma-sú-e-em ša a-ší-ḫi-im
a66fcd48-8a27-b5e3-d4d0-2f39154e6475,https://oare.byu.edu/epigraphies/a66fcd48-8a27-b5e3-d4d0-2f39154e6475,P358447,CCT 5 48d | BM 113610,Cuneiform Tablet CCT 5 48d (BM 113610),,"Cuneiform tablet, dated to the Old Assyrian Period (ca. 1950-1850 BC).",unknown,BM 113610,,"CCT 1, 27, BM 113610","CCT VI, S. 22; Nashef, TAVOB 83, 32ff.;5-8: Garelli, AC 94A.4; 9-13: ebd. 91A.1",,,1557,BM.113610,https://aicuneiform.com/search?q=P358447,x 2 GÍN AN.NA … 0.66666 ma-na URUDU.TA ú sà-ḫe-er-tám i-na lu-ba-ší-im ša ṣé-ni-ma 1 GÍN KÙ.BABBAR a-na ma-sú-e-em ša áb-ri-im 1 GÍN KÙ.BABBAR a-na-ak-ta-ma-tim 0.5 ma-na 4 GÍN AN.NA ù 0.5 ma-na URUDU ú pá-at-ra-am a-na ma-sú-e-em ša a-ší-ḫi-im,<gap> 2 GÍN AN.NA <big_gap> 0.66666 ma-na URUDU.TA ú sà-ḫe-er-tám i-na lu-ba-ší-im ša ṣé-ni-ma 1 GÍN KÙ.BABBAR a-na ma-sú-e-em ša áb-ri-im 1 GÍN KÙ.BABBAR a-na-ak-ta-ma-tim 0.5 ma-na 4 GÍN AN.NA ù 0.5 ma-na URUDU ú pá-at-ra-am a-na ma-sú-e-em ša a-ší-ḫi-im
017079b3-976a-a51b-b687-c80ae167e4b0,https://oare.byu.edu/epigraphies/017079b3-976a-a51b-b687-c80ae167e4b0,P358461,CCT 1 32b | BM 113542,Cuneiform Tablet CCT 1 32b (BM 113542),,"Cuneiform tablet, dated to the Old Assyrian Period (ca. 1950-1850 BC).",note,BM 113542,,"CCT 1, 32, BM 113542","Ulshöfer, FAOSB 4, 154 Nr. 154",,,1146,BM.113542,https://aicuneiform.com/search?q=P358461,2.33333 ma-na LÁ 0.5 GÍN KÙ.BABBAR a-na šu-mì a-šùr-kà-ší-id 1 ma-na ší-im Ì.GIŠ 0.33333 ma-na šál-mì-IŠTAR 0.33333 ma-na a-na šu-mì IŠTAR-pì-lá-aḫ ú-ṣa-ḫe-ru-nim ší-tí KÙ.BABBAR-pì-a 0.33333 ma-na 7 GÍN KI kà-ri-im li-mu-um a-šùr-i-mì-tí,2.33333 ma-na LÁ 0.5 GÍN KÙ.BABBAR a-na šu-mì a-šùr-kà-ší-id 1 ma-na ší-im Ì.GIŠ 0.33333 ma-na šál-mì-IŠTAR 0.33333 ma-na a-na šu-mì IŠTAR-pì-lá-aḫ ú-ṣa-ḫe-ru-nim ší-tí KÙ.BABBAR-pì-a 0.33333 ma-na 7 GÍN KI kà-ri-im li-mu-um a-šùr-i-mì-tí
a5419f5c-ab38-4928-f777-aaad7bdd7746,https://oare.byu.edu/epigraphies/a5419f5c-ab38-4928-f777-aaad7bdd7746,P504745 | P290300,BIN 4 112,Cuneiform Tablet BIN 4 112 (NBC 1662),,"Cuneiform tablet, dated to the Old Assyrian Period (ca. 1950-1850 BC).",unknown,NBC 1662,,"BIN 4, 112","Matouš ArOr. 37, 156ff.Dercksen 1996: 133 with note 4132-7: Garelli, AC 176A.4;29-32: ebd. 332A.3;vgl. Veenhof, FS Houwink ten Cate 325",,,591,NBC.1662,https://aicuneiform.com/search?q=P504745,bu-za-zu il₅-we-da-ku iš-a-al-ma um-ma bu-za-zu-ma 45 GÚ URUDU sí-kam i-na wa-aḫ-šu-ša-na É kà-ri-im i-na sú-ḫu-pì-im lu a-na kà-ri-im lu a-na we-dim ú-ṣí-a-am PUZUR₄-a-šùr lá-qá-a-am qá-bi₄ ú ṭup-pá-am ša dí-in kà-ri-im kà-ni-ìš a-na-ku ú-kà-al ù ṭup-pá-am ša ku-nu-uk PUZUR₄-a-šùr ša URUDU-um URUDU-i-ni ú-kà-al ù iš-tù PUZUR₄-a-šur me-tù-ni i-na ba-áb ḫa-ra-ni-a i-na wa-aḫ-šu-ša-na ša-zu-úz-tí ú-ša-zi-iz-kà ù i-ṣú-ra-tim ša kà-ru-um wa-aḫ-šu-ša-na a-na ša-pár-tim i-dí-a-ni e-zi-ba-kum i-na URUDU šu-a-tí ki-ma i-a-tí mì-ma tal-qé lá tal-qé IGI a-ni-e-ma i-ke-er ú-lá kà-i-na-ni il₅-we-da-ku bu-za-zu e-pu-ul um-ma il₅-we-da-ku-ma a-na bu-za-zu-ma tí-ma-li-ma a-na kà-ri-im TUR GAL a-na ša ma-áš-kà-tí tù-šar-dí-ú a-li-ik um-ma a-ta-ma a-wi-lam lá-áš-al-ma u₄-ra-ma lu né-ta-wu lu mì-ma ḫa-bu-lá-kum lu ṭup-pí ḫa-ar-ma-am tù-kà-al ri-id-a-ma u₄-ma-ma lu-ta-mì-ú-kà ša ni-iš a-lim{ki} ù ru-ba-im ší-bu-tí kà-i-lá a-na kà-ri-im TUR GAL a-wa-tí bi-lá ki-ma ma-áš-kà-tí ú-šar-dí-ú ù-qá-a-šu a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-ìš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI il₅-ba-ni DUMU a-mur-a-šur IGI i-dí-da-ga-an IGI a-gu₅-a DUMU PUZUR₄-a-šur,bu-za-zu il₅-we-da-ku iš-a-al-ma um-ma bu-za-zu-ma 45 GÚ URUDU sí-kam i-na wa-aḫ-šu-ša-na É kà-ri-im i-na sú-ḫu-pì-im lu a-na kà-ri-im lu a-na we-dim ú-ṣí-a-am PUZUR₄-a-šùr lá-qá-a-am qá-bi₄ ú ṭup-pá-am ša dí-in kà-ri-im kà-ni-ìš a-na-ku ú-kà-al ù ṭup-pá-am ša ku-nu-uk PUZUR₄-a-šùr ša URUDU-um URUDU-i-ni ú-kà-al ù iš-tù PUZUR₄-a-šur me-tù-ni i-na ba-áb ḫa-ra-ni-a i-na wa-aḫ-šu-ša-na ša-zu-úz-tí ú-ša-zi-iz-kà ù i-ṣú-ra-tim ša kà-ru-um wa-aḫ-šu-ša-na a-na ša-pár-tim i-dí-a-ni e-zi-ba-kum i-na URUDU šu-a-tí ki-ma i-a-tí mì-ma tal-qé lá tal-qé IGI a-ni-e-ma i-ke-er ú-lá kà-i-na-ni il₅-we-da-ku bu-za-zu e-pu-ul um-ma il₅-we-da-ku-ma a-na bu-za-zu-ma tí-ma-li-ma a-na kà-ri-im TUR GAL a-na ša ma-áš-kà-tí tù-šar-dí-ú a-li-ik um-ma a-ta-ma a-wi-lam lá-áš-al-ma u₄-ra-ma lu né-ta-wu lu mì-ma ḫa-bu-lá-kum lu ṭup-pí ḫa-ar-ma-am tù-kà-al ri-id-a-ma u₄-ma-ma lu-ta-mì-ú-kà ša ni-iš a-lim{ki} ù ru-ba-im ší-bu-tí kà-i-lá a-na kà-ri-im TUR GAL a-wa-tí bi-lá ki-ma ma-áš-kà-tí ú-šar-dí-ú ù-qá-a-šu a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-ìš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI il₅-ba-ni DUMU a-mur-a-šur IGI i-dí-da-ga-an IGI a-gu₅-a DUMU PUZUR₄-a-šur
